ModelEntityId	EntityType	ClusterEntry	ClusterId
1798034	ModelReaction	mrxn_2286	435157
1767228	ModelReaction	mrxn_2286	435157
1812728	ModelReaction	mrxn_2286	435157
1768448	ModelReaction	mrxn_2287	435154
1764482	ModelReaction	mrxn_2287	435154
1814052	ModelReaction	mrxn_2287	435154
1803472	ModelReaction	mrxn_2287	435154
1805672	ModelReaction	mrxn_2287	435154
1808490	ModelReaction	mrxn_2287	435154
1756383	ModelReaction	mrxn_2287	435154
1818920	ModelReaction	mrxn_2287	435154
1802672	ModelReaction	mrxn_2288	435155
1802674	ModelReaction	mrxn_2288	435155
1809063	ModelReaction	mrxn_2288	435155
1803274	ModelReaction	mrxn_2288	435155
1806044	ModelReaction	mrxn_2288	435155
1756750	ModelReaction	mrxn_2288	435155
1757344	ModelReaction	mrxn_2289	435152
1763970	ModelReaction	mrxn_2289	435152
1810981	ModelReaction	mrxn_2289	435152
1767591	ModelReaction	mrxn_2289	435152
1798733	ModelReaction	mrxn_2289	435152
1808808	ModelReaction	mrxn_2289	435152
1818526	ModelReaction	mrxn_2289	435152
1802552	ModelReaction	mrxn_2289	435152
1806644	ModelReaction	mrxn_2289	435152
1813149	ModelReaction	mrxn_2289	435152
1813352	ModelReaction	mrxn_2290	435153
1764658	ModelReaction	mrxn_2290	435153
1797650	ModelReaction	mrxn_2290	435153
1809283	ModelReaction	mrxn_2290	435153
1819100	ModelReaction	mrxn_2290	435153
1767784	ModelReaction	mrxn_2290	435153
1810489	ModelReaction	mrxn_2290	435153
1806172	ModelReaction	mrxn_2290	435153
1756878	ModelReaction	mrxn_2290	435153
1802936	ModelReaction	mrxn_2290	435153
1798053	ModelReaction	mrxn_2291	435166
1767239	ModelReaction	mrxn_2291	435166
1812742	ModelReaction	mrxn_2291	435166
1765116	ModelReaction	mrxn_2292	435167
1765118	ModelReaction	mrxn_2292	435167
1765505	ModelReaction	mrxn_2292	435167
1765433	ModelReaction	mrxn_2292	435167
1765499	ModelReaction	mrxn_2292	435167
1798055	ModelReaction	mrxn_2293	435164
1767241	ModelReaction	mrxn_2293	435164
1812744	ModelReaction	mrxn_2293	435164
1813077	ModelReaction	mrxn_2294	435165
1810868	ModelReaction	mrxn_2294	435165
1798572	ModelReaction	mrxn_2294	435165
1767687	ModelReaction	mrxn_2294	435165
1767527	ModelReaction	mrxn_2294	435165
1803314	ModelReaction	mrxn_2295	435162
1818690	ModelReaction	mrxn_2295	435162
1764234	ModelReaction	mrxn_2295	435162
1803300	ModelReaction	mrxn_2296	435163
1803301	ModelReaction	mrxn_2296	435163
1798693	ModelReaction	mrxn_2296	435163
1768406	ModelReaction	mrxn_2296	435163
1808977	ModelReaction	mrxn_2296	435163
1806984	ModelReaction	mrxn_2296	435163
1814008	ModelReaction	mrxn_2296	435163
1806987	ModelReaction	mrxn_2296	435163
1809045	ModelReaction	mrxn_2296	435163
1768405	ModelReaction	mrxn_2296	435163
1809280	ModelReaction	mrxn_2296	435163
1764280	ModelReaction	mrxn_2296	435163
1768397	ModelReaction	mrxn_2296	435163
1806988	ModelReaction	mrxn_2296	435163
1814006	ModelReaction	mrxn_2296	435163
1809281	ModelReaction	mrxn_2296	435163
1813994	ModelReaction	mrxn_2296	435163
1764272	ModelReaction	mrxn_2296	435163
1764275	ModelReaction	mrxn_2296	435163
